1,일곱 개의 대죄: GRAND CROSS,Netmarble
2,궁수의 전설,Habby
3,Draw it,Kwalee Ltd
4,랑그릿사,ZlongGames
5,브롤스타즈,Supercell
6,아르카,"GAMELAND(HK)CO.,LIMITED"
7,각성:최후의 구원자,funny game korea
8,Run Race 3D,Good Job Games
9,최후의 희망: Pixel Z,Leiting Games
10,House Paint,SayGames
11,Crowd City,VOODOO
12,공장 주식회사,Cheetah Games
13,Jetpack Jump,Kwalee Ltd
14,Bottle Flip 3D,tastypill
15,토킹톰 히어로 대시,Outfit7 Limited
16,Color Hole 3D,Good Job Games
17,탈출 또는 억압,Clicker FunTime
18,Folding Blocks,Popcore Games
19,오늘도 환생 차원의 기사단 : 방치형 RPG게임,ekkorr
20,배틀그라운드,PUBG CORPORATION
21,멍멍 초성퀴즈 : 강아지 키우기,BUZZPOWDER INC.
22,포켓몬 대격돌SP,The Pokemon Company
23,Color Bump 3D,Good Job Games
24,신비아파트 고스트헌터,DAERISOFT
25,스택 볼 - 플랫폼을 다 뚫어버리세요 ,AI GAMES FZ
26,ROBLOX,Roblox Corporation
27,Cowboy!,Lion Studios
28,프렌즈타운,Kakao Games Corp.
29,maybe-메이비:내가 만드는 이야기,CINAMON GAMES
30,프렌즈레이싱,Kakao Games Corp.
31,Empires & Puzzles: RPG Quest,Small Giant Games
32,롤링 스카이,Cheetah Games
33,Traffic Run!,"Geisha Tokyo, Inc."
34,미라큘러스 레이디버그와 블랙캣 - 공식 게임,Crazy Labs by TabTale
35,Twist Hit!,SayGames
36,킹 오브 파이터 올스타,Netmarble
37,Box Simulator for Brawl Stars: Open That Box!,Slayd Elers
38,점과박자 (Dot n Beat)-손의 속도 테스트,Badsnowball Limited
39,MARVEL 퓨처파이트,Netmarble
40,AFTERLOST - 소멸도시,"WFS, Inc."
41,Auto Chess,Dragonest Game
42,매직 캐슬 피아노 타일: 무료 리듬 음악 게임,CookApps
43,Aquapark Slide.io,Xahit Game Studio
44,Paper.io 2,VOODOO
