4,랑그릿사,ZlongGames,4.8,https://play.google.com/store/apps/details?id=com.zlongame.kr.langrisser
161,Eternium (이터니움),"Making Fun, Inc.",4.8,https://play.google.com/store/apps/details?id=com.makingfun.mageandminions
1,일곱 개의 대죄: GRAND CROSS,Netmarble,4.7,https://play.google.com/store/apps/details?id=com.netmarble.nanakr
31,Empires & Puzzles: RPG Quest,Small Giant Games,4.7,https://play.google.com/store/apps/details?id=com.smallgiantgames.empires
46,Soul Knight,ChillyRoom,4.7,https://play.google.com/store/apps/details?id=com.ChillyRoom.DungeonShooter
47,Snowball.io,"Geisha Tokyo, Inc.",4.7,https://play.google.com/store/apps/details?id=com.geishatokyo.snowballio
48,Piano Tiles 2™,Cheetah Games,4.7,https://play.google.com/store/apps/details?id=com.cmplay.tiles2
102,갤럭시 슈터 - 팔콘 스쿼드 - 외계인 슈팅게임,ONESOFT,4.7,https://play.google.com/store/apps/details?id=invaders.os.galaxy.space.shooter.attack.classic
103,Dream Piano - Music Game,Tap Lab,4.7,https://play.google.com/store/apps/details?id=com.eyu.piano
121,Merge Plane - Click & Idle Tycoon,Merger Games,4.7,https://play.google.com/store/apps/details?id=com.brokenreality.planemerger.android
126,"Happy Color – 컬러링북, 숫자 색칠 게임",X-Flow,4.7,https://play.google.com/store/apps/details?id=com.pixel.art.coloring.color.number
141,유휴 비행기 전쟁,Mohammednvw,4.7,https://play.google.com/store/apps/details?id=com.urgerredhefgolfgalaxy
158,전쟁 비행기 3D,OverkillDust,4.7,https://play.google.com/store/apps/details?id=com.warplane.funidlegames
163,거지키우기2 한푼마을,manababa,4.7,https://play.google.com/store/apps/details?id=com.manababa.BeggarKing2
165,Gunship War：Total Battle,Mad Fun,4.7,https://play.google.com/store/apps/details?id=com.airwar.shooting.survivialgame
171,파스텔걸,SeyeonSoft,4.7,https://play.google.com/store/apps/details?id=com.seyeonsoft.pastel
177,아재 능력 고사 : 아재개그와 넌센스퀴즈,BIGJAM,4.7,https://play.google.com/store/apps/details?id=com.litqoo.azquiz
190,Dancing Line,Cheetah Games,4.7,https://play.google.com/store/apps/details?id=com.cmplay.dancingline
12,공장 주식회사,Cheetah Games,4.6,https://play.google.com/store/apps/details?id=com.playhardlab.factory
17,탈출 또는 억압,Clicker FunTime,4.6,https://play.google.com/store/apps/details?id=com.scapegameprisonadventurewargames
